year, rcp85_weighted_mean
2005,0
2006,0
2007,0
2008,0.1
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0.2
2020,0.1
2021,0
2022,0
2023,0.1
2024,0
2025,0
2026,0
2027,0.1
2028,0.1
2029,0.1
2030,0.1
2031,0.2
2032,0.3
2033,0.4
2034,0.5
2035,0.4
2036,0.6
2037,0.2
2038,0.4
2039,0.6
2040,0.7
2041,0.4
2042,0.9
2043,1
2044,0.8
2045,0.9
2046,1.5
2047,0.5
2048,2.2
2049,1.6
2050,1.1
2051,2.1
2052,1.3
2053,1.9
2054,1.8
2055,1.9
2056,3.5
2057,3.3
2058,2.2
2059,2.6
2060,4
2061,2.8
2062,4.2
2063,3
2064,4.9
2065,3.7
2066,4.4
2067,3
2068,6.2
2069,5.7
2070,6
2071,7.1
2072,6.8
2073,8.1
2074,7.1
2075,9.9
2076,8.3
2077,6.3
2078,7.3
2079,6.4
2080,6.7
2081,9
2082,8
2083,11.6
2084,9.7
2085,10.3
2086,12
2087,10.6
2088,11.8
2089,11.1
2090,15.4
2091,12.4
2092,11.6
2093,13.2
2094,16.9
2095,15.6
2096,15.9
2097,13.2
2098,12.6
2099,14.4